session_id,start_time,end_time,session_length,key_themes
1,2025-02-01 10:15:23.123456,2025-02-01 10:45:45.234567,0:30:22.111111,"anxiety about exams, time management, stress"
2,2025-02-01 14:22:33.445566,2025-02-01 14:42:21.556677,0:19:48.111111,"anxiety about exams, mental health concerns"
3,2025-02-02 09:12:34.567890,2025-02-02 09:32:12.678901,0:19:38.111011,"depression, loneliness, social anxiety"
4,2025-02-03 16:45:56.789012,2025-02-03 17:15:43.890123,0:29:47.101111,"relationship issues, communication, conflict resolution"
5,2025-02-04 11:23:45.901234,2025-02-04 11:53:21.012345,0:29:35.111111,"anxiety about exams, study techniques, motivation"
6,2025-02-05 13:34:56.123456,2025-02-05 14:04:56.234567,0:30:00.111111,"depression, motivation, academic pressure"
7,2025-02-07 15:45:34.345678,2025-02-07 16:25:12.456789,0:39:38.111111,"time management, stress, work-life balance"
8,2025-02-08 10:12:34.567890,2025-02-08 10:42:45.678901,0:30:11.111011,"career guidance, job search, interview anxiety"
9,2025-02-09 14:23:45.789012,2025-02-09 14:53:23.890123,0:29:38.101111,"relationship issues, breakup support, emotional healing"
10,2025-02-10 09:34:56.901234,2025-02-10 10:04:55.012345,0:29:58.111111,"anxiety about exams, test strategies, performance anxiety"
11,2025-02-12 11:45:12.123456,2025-02-12 12:15:45.234567,0:30:33.111111,"financial stress, budget planning, student loans"
12,2025-02-13 13:56:23.345678,2025-02-13 14:26:34.456789,0:30:11.111111,"depression, therapy options, self-care strategies"
13,2025-02-14 10:10:34.567890,2025-02-14 10:40:56.678901,0:30:22.111011,"time management, procrastination, productivity"
14,2025-02-15 14:11:45.789012,2025-02-15 14:41:22.890123,0:29:37.101111,"mental health concerns, anxiety, depression"
15,2025-02-15 16:12:56.901234,2025-02-15 16:42:12.012345,0:29:15.111111,"relationship issues, family conflict, boundaries"
16,2025-02-17 09:23:12.123456,2025-02-17 09:53:43.234567,0:30:31.111111,"anxiety about exams, exam stress, test preparation"
17,2025-02-19 12:34:23.345678,2025-02-19 13:04:45.456789,0:30:22.111111,"career guidance, major selection, future planning"
18,2025-02-20 15:45:34.567890,2025-02-20 16:15:23.678901,0:29:49.111011,"mental health concerns, seeking help, campus resources"
19,2025-02-21 10:56:45.789012,2025-02-21 11:26:54.890123,0:30:09.101111,"time management, course load, academic planning"
20,2025-02-22 13:12:56.901234,2025-02-22 13:42:12.012345,0:29:15.111111,"anxiety about exams, test anxiety, coping strategies"
21,2025-02-23 09:23:12.123456,2025-02-23 09:53:31.234567,0:30:19.111111,"depression, isolation, social connection"
22,2025-02-24 16:34:23.345678,2025-02-24 17:04:34.456789,0:30:11.111111,"relationship issues, dating, social skills"
23,2025-02-26 11:45:34.567890,2025-02-26 12:15:43.678901,0:30:09.111011,"stress, anxiety, relaxation techniques"
24,2025-02-26 14:56:45.789012,2025-02-26 15:26:54.890123,0:30:09.101111,"career guidance, internship search, resume help"
25,2025-02-27 10:12:56.901234,2025-02-27 10:42:12.012345,0:29:15.111111,"mental health concerns, self-esteem, confidence building"
26,2025-03-01 12:23:12.123456,2025-03-01 12:53:31.234567,0:30:19.111111,"anxiety about exams, final exams, study groups"
27,2025-03-03 15:34:23.345678,2025-03-03 16:04:34.456789,0:30:11.111111,"time management, deadlines, assignment planning"
28,2025-03-05 10:45:34.567890,2025-03-05 11:15:43.678901,0:30:09.111011,"depression, mood management, counseling services"
29,2025-03-07 13:56:45.789012,2025-03-07 14:26:54.890123,0:30:09.101111,"relationship issues, conflict resolution, communication skills"
30,2025-03-09 09:12:56.901234,2025-03-09 09:42:12.012345,0:29:15.111111,"anxiety about exams, test preparation, study techniques"
31,2025-03-11 11:23:12.123456,2025-03-11 11:53:31.234567,0:30:19.111111,"career guidance, graduate school applications, recommendation letters"
32,2025-03-13 16:34:23.345678,2025-03-13 17:04:34.456789,0:30:11.111111,"mental health concerns, stress management, wellness strategies"
33,2025-03-15 10:45:34.567890,2025-03-15 11:15:43.678901,0:30:09.111011,"time management, work-study balance, prioritization"
34,2025-03-17 13:56:45.789012,2025-03-17 14:26:54.890123,0:30:09.101111,"anxiety about exams, performance anxiety, relaxation techniques"
35,2025-03-19 15:12:56.901234,2025-03-19 15:42:12.012345,0:29:15.111111,"depression, motivation, goal setting"
36,2025-03-21 10:23:12.123456,2025-03-21 10:53:31.234567,0:30:19.111111,"relationship issues, long-distance relationships, trust"
37,2025-03-23 12:34:23.345678,2025-03-23 13:04:34.456789,0:30:11.111111,"stress, anxiety, mindfulness techniques"
38,2025-03-25 15:45:34.567890,2025-03-25 16:15:43.678901,0:30:09.111011,"career guidance, job interviews, networking skills"
39,2025-03-27 10:56:45.789012,2025-03-27 11:26:54.890123,0:30:09.101111,"mental health concerns, managing medications, therapy options"
40,2025-03-29 14:12:56.901234,2025-03-29 14:42:12.012345,0:29:15.111111,"anxiety about exams, test-taking strategies, practice exams"
41,2025-03-31 09:23:12.123456,2025-03-31 09:53:31.234567,0:30:19.111111,"time management, organization skills, digital tools"
42,2025-04-02 12:34:23.345678,2025-04-02 13:04:34.456789,0:30:11.111111,"depression, seasonal depression, light therapy"
43,2025-04-04 15:45:34.567890,2025-04-04 16:15:43.678901,0:30:09.111011,"relationship issues, roommate conflicts, shared living"
44,2025-04-06 11:56:45.789012,2025-04-06 12:26:54.890123,0:30:09.101111,"anxiety about exams, exam accommodations, disability services"
45,2025-04-08 13:12:56.901234,2025-04-08 13:42:12.012345,0:29:15.111111,"career guidance, changing majors, academic advising"
46,2025-04-10 10:23:12.123456,2025-04-10 10:53:31.234567,0:30:19.111111,"mental health concerns, panic attacks, grounding techniques"
47,2025-04-12 12:34:23.345678,2025-04-12 13:04:34.456789,0:30:11.111111,"time management, sleep schedule, healthy routines"
48,2025-04-14 15:45:34.567890,2025-04-14 16:15:43.678901,0:30:09.111011,"anxiety about exams, group projects, presentation anxiety"
49,2025-04-16 10:56:45.789012,2025-04-16 11:26:54.890123,0:30:09.101111,"depression, support groups, peer counseling"
50,2025-04-18 13:12:56.901234,2025-04-18 13:42:12.012345,0:29:15.111111,"relationship issues, healthy boundaries, self-advocacy"
51,2025-04-22 09:23:12.123456,2025-04-22 09:53:31.234567,0:30:19.111111,"career guidance, summer internships, application deadlines"
52,2025-04-28 16:34:23.345678,2025-04-28 17:04:34.456789,0:30:11.111111,"mental health concerns, burnout, self-care strategies"
54,2025-05-05 17:19:40.907949,2025-05-05 17:20:45.302380,0:01:04.394431,"mental health concerns, anxiety, stress management"
55,2025-05-05 17:27:56.320073,2025-05-05 17:29:54.940128,0:01:58.620055,"mental health concerns, stress management"
58,2025-05-06 17:57:46.327962,2025-05-06 17:59:42.827916,0:01:56.499954,"anxiety about exams, mental health concerns"
59,2025-05-06 18:02:55.058929,2025-05-06 18:06:09.480419,0:03:14.421490,"mental health concerns, anxiety"
62,2025-05-07 11:27:31.434383,2025-05-07 11:28:32.422902,0:01:00.988519,"anxiety, mental health concerns"
63,2025-05-08 14:16:18.568872,2025-05-08 14:17:32.749122,0:01:14.180250,"anxiety, stress management"
